2543,17,2.17316,1
2496,11,2.15434,2
2494,10,1.89546,3
3788,33,1.87266,4
3448,28,1.78365,5
3510,30,1.77387,6
2550,20,1.76254,7
2615,23,1.75786,8
2508,12,1.74877,9
3447,27,1.74605,10
2394,3,1.74412,11
3804,34,1.74213,12
3819,35,1.7185,13
3862,36,1.6912,14
2492,9,1.67602,15
2487,7,1.67112,16
2573,22,1.65497,17
2513,13,1.6533,18
2523,15,1.65312,19
3751,31,1.64822,20
2547,19,1.63347,21
2527,16,1.62125,22
2631,25,1.61827,23
2553,21,1.61816,24
3459,29,1.61044,25
2482,6,1.58582,26
2546,18,1.57834,27
2349,2,1.57046,28
2489,8,1.56933,29
2423,4,1.56453,30
2517,14,1.56334,31
3763,32,1.55223,32
2624,24,1.53818,33
1554,1,1.52382,34
2428,5,1.51069,35
2757,26,1.50841,36
